density,density_level,target_long_fraction_pct,model_key,distserve_variant,distserve_decode_replay_mode,distserve_decode_batch_size,distserve_decode_batch_alpha,cucumis_variant,cucumis_dispatcher,comparison_scope,distserve_all_ttft_p99_ms,cucumis2_all_ttft_p99_ms,distserve_vs_cucumis2_all_ttft_p99_ms_ratio,distserve_short_ttft_p99_ms,cucumis2_short_ttft_p99_ms,distserve_vs_cucumis2_short_ttft_p99_ms_ratio,distserve_long_ttft_p99_ms,cucumis2_long_ttft_p99_ms,distserve_vs_cucumis2_long_ttft_p99_ms_ratio,distserve_all_completion_p99_ms,cucumis2_all_completion_p99_ms,distserve_vs_cucumis2_all_completion_p99_ms_ratio,distserve_short_completion_p99_ms,cucumis2_short_completion_p99_ms,distserve_vs_cucumis2_short_completion_p99_ms_ratio,distserve_long_completion_p99_ms,cucumis2_long_completion_p99_ms,distserve_vs_cucumis2_long_completion_p99_ms_ratio,distserve_round_wall_ms,cucumis2_round_wall_ms,distserve_vs_cucumis2_round_wall_ms_ratio,distserve_throughput_rps,cucumis2_throughput_rps,distserve_vs_cucumis2_throughput_rps_ratio
high_l30,high,30,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,1402.5981609221146,504.84652330051176,2.7782664556198458,1382.6570118938685,147.05517198570305,9.402301144690734,1375.9693581175432,505.4595687368419,2.722214482072484,25168.55354946952,5048.1022149155615,4.98574562834808,25185.20514491113,4802.616359075764,5.244059333891471,19987.543615943225,5067.978513589478,3.943888783732574,29194.48274746549,8760.582079473208,3.3324820751204025,1.3716329082191234,4.565906876703294,0.3004075521596005
high_l30,high,30,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,1402.5981609221146,496.4717364651733,2.8251319418673586,1382.6570118938685,148.5176891979063,9.30971266359671,1375.9693581175432,497.52272401965456,2.7656412294108312,25168.55354946952,4856.449205112876,5.182501141569037,25185.20514491113,4595.668750437035,5.480204625826457,19987.543615943225,4862.024350349093,4.110950948756174,29194.48274746549,8695.445758040416,3.35744521440666,1.3716329082191234,4.600109248857532,0.2981739854460582
high_l50,high,50,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,1936.3868272941434,606.3906629214762,3.193299214016581,1321.0005286613,292.3512640481929,4.5185387959996595,1974.2490235947325,608.8416478125146,3.2426313651307224,24293.504812880085,5343.866228054976,4.546054069493852,19449.732606865684,5233.78302534431,3.7161900890200092,24316.820447166596,5312.66910698323,4.577138149862069,28389.36958892873,9307.400128981355,3.050193308067845,1.4089920535115201,4.300007152082625,0.3276720255753766
high_l50,high,50,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,1936.3868272941434,566.7612116414239,3.4165831879815527,1321.0005286613,176.64865426835598,7.478123929857404,1974.2490235947325,572.300246443192,3.449673551364968,24293.504812880085,4967.056674552732,4.8909256335529205,19449.732606865684,4713.480414864607,4.126405733124144,24316.820447166596,4984.896325560403,4.87809953488509,28389.36958892873,8975.27978199909,3.163062353317022,1.4089920535115201,4.456686506891087,0.31615238167030296
high_l70,high,70,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,3103.4479480538075,591.8167049996555,5.243934349665939,1035.8205344601156,170.96231681265635,6.058765193239553,3126.8476089914025,595.674598379992,5.249254572035197,24077.080917032225,5078.853807663545,4.740652483578484,18079.527649247586,4823.009368813073,3.7485989071791708,24079.787363729087,5081.912739304826,4.738331529679719,28250.448122993643,8699.034359996422,3.247538399538551,1.4159171526317533,4.598220186780289,0.3079272186013323
high_l70,high,70,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,3103.4479480538075,646.9746942623169,4.796861416028599,1035.8205344601156,164.39414079592098,6.300836084821198,3126.8476089914025,650.2626792647061,4.808591525700246,24077.080917032225,5692.616488306667,4.22952801519117,18079.527649247586,5451.037284521444,3.3167132612696517,24079.787363729087,5696.9898548250785,4.22675623045645,28250.448122993643,8836.03711700235,3.197185316099904,1.4159171526317533,4.526917454933227,0.31277732954656634
high_l90,high,90,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,4331.884408019986,600.1792660114006,7.217650880891478,491.829240339262,141.5483250573743,3.474638362127613,4339.779488640212,600.8280931928311,7.222996956714194,24305.824363396925,5341.953007126285,4.549988427635438,10262.483275892995,5066.561568735051,2.025532135881098,24306.79383547792,5341.984742805653,4.550142878676924,28378.158097699023,9073.41347348758,3.1276165448229274,1.4096078071441953,4.408484371172088,0.3197488498228296
high_l90,high,90,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,4331.884408019986,601.031712651602,7.207414046271856,491.829240339262,147.68335173401283,3.330295761604043,4339.779488640212,602.0088296121685,7.208830294791562,24305.824363396925,5330.621874317876,4.559660192837666,10262.483275892995,5067.468107293826,2.0251697807671962,24306.79383547792,5331.424481977592,4.559155609845902,28378.158097699023,9122.513427507347,3.110782825720995,1.4096078071441953,4.384756494962499,0.3214791536915783
mid_l10,mid,10,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,890.8752980195723,844.5948432220029,1.0547960423497453,892.1351466793166,266.23751761508174,3.350899432472695,775.2957689557971,896.5307978037163,0.8647731576595967,40689.54485019983,8821.366697574267,4.612612336066791,40692.80496656746,8671.256817622634,4.692838168956926,30505.07878803624,8885.70806208998,3.4330498565649745,46098.83300015323,14333.407092474277,3.216181100748706,0.8677043750506807,2.7907852820663717,0.31091764050303766
mid_l10,mid,10,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,890.8752980195723,734.4809983475716,1.2129317164417528,892.1351466793166,276.0179342236369,3.2321636968577754,775.2957689557971,738.0147815778037,1.050515231278011,40689.54485019983,8282.740698475973,4.91257016625991,40692.80496656746,7991.850010919734,5.091787872766193,30505.07878803624,8454.238042961806,3.6082587967146096,46098.83300015323,13628.384087480714,3.382560449151156,0.8677043750506807,2.9350695112643996,0.29563333056356883
