density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,arrival_offset_s,prompt_tokens,ttft_mode,first_latency_ms,prefill_ttft_ms,decode_ready_ttft_ms,decode_start_ttft_ms,decode_first_token_ttft_ms,decode_queue_first_token_ttft_ms,finish_latency_ms,scheduled_first_latency_ms,scheduled_finish_latency_ms,prefill_start_ms,prefill_finish_ms,kv_transfer_ms,decode_start_ms,decode_finish_ms,tpot_ms,is_short,dispatcher,replica_id,first_event_index,finish_event_index
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_00,3.75888,,,152.00759697472677,,,,,,4698.802036989946,174.35846797889099,4721.15290799411,,,,,,,False,round_robin,1,461,1258
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_14,4.100883,,,577.9064020025544,,,,,,5026.664358971175,627.0468949805945,5075.804851949215,,,,,,,False,round_robin,1,642,1279
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_13,4.307758,,,439.73663600627333,,,,,,4878.913592023309,500.64728397410363,4939.82423999114,,,,,,,False,round_robin,1,643,1280
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_12,0.056734,,,73.51307600038126,,,,,,4628.7003079778515,73.58081702841446,4628.768049005885,,,,,,,True,least_backlog,0,1,682
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_02,0.17221,,,140.4316559783183,,,,,,4698.063805990387,169.55977998441085,4727.191929996479,,,,,,,True,least_backlog,0,5,743
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_06,0.40374,,,423.70041902177036,,,,,,4991.982305014972,432.6288580195978,5000.910744012799,,,,,,,False,least_backlog,0,20,877
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_16,0.67477,,,142.9141080006957,,,,,,4711.195993993897,161.59885801607743,4729.880744009279,,,,,,,True,least_backlog,0,21,878
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_05,0.753789,,,360.9943490009755,,,,,,4927.387284988072,370.14886003453285,4936.541796021629,,,,,,,False,least_backlog,0,34,946
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_00,1.222007,,,140.5021870159544,,,,,,4707.110524002928,185.447063005995,4752.055399992969,,,,,,,True,least_backlog,0,59,1011
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_10,1.339675,,,436.80754204979166,,,,,,4991.519689036068,504.60393901448697,5059.316086000763,,,,,,,False,least_backlog,0,96,1102
