gpu_profile,gpu_label,density,density_level,target_long_fraction_pct,model_key,distserve_decode_replay_mode,distserve_decode_batch_size,distserve_decode_batch_alpha,cucumis_dispatcher,comparison_scope,distserve_all_ttft_p99_ms,cucumis_all_ttft_p99_ms,all_ttft_p99_ratio,distserve_short_ttft_p99_ms,cucumis_short_ttft_p99_ms,short_ttft_p99_ratio,distserve_all_completion_p99_ms,cucumis_all_completion_p99_ms,all_completion_p99_ratio,distserve_round_wall_ms,cucumis_round_wall_ms,round_wall_ratio,distserve_throughput_rps,cucumis_throughput_rps,throughput_ratio
rtx4090,RTX 4090,high_l10,high,10,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,617.678,2899.16,0.213054,614.701,2902.62,0.211775,12804,5756.54,2.22426,16973,7674.75,2.21154,2.35701,5.21235,0.452197
rtx4090,RTX 4090,high_l30,high,30,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2361.11,13830.3,0.17072,2313.9,13032.1,0.177553,12565.5,18598.9,0.675606,16697.6,19786.4,0.843895,2.39556,2.02479,1.18311
rtx4090,RTX 4090,high_l50,high,50,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,3797.76,18173.5,0.208972,2342.12,17520.4,0.13368,12802.5,22500.9,0.568977,17046,24749,0.688756,2.3466,1.62389,1.44505
rtx4090,RTX 4090,high_l70,high,70,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,6253.68,24859.6,0.25156,1655.31,20648.4,0.0801665,12615.3,30636.8,0.411769,16846.3,32299.1,0.521572,2.37456,1.24246,1.91118
rtx4090,RTX 4090,high_l90,high,90,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,8746.21,32098.7,0.272479,808.723,152.943,5.28776,13134.5,46669,0.28144,17434.8,47190.1,0.369458,2.29428,0.855735,2.68106
rtx4090,RTX 4090,mid_l10,mid,10,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,346.258,388.605,0.891028,318.725,105.551,3.01962,10857.3,3117.71,3.48248,16138.9,8306.29,1.94298,2.47856,4.81563,0.514691
rtx4090,RTX 4090,mid_l30,mid,30,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,521.805,440.743,1.18392,453.792,107.875,4.20664,11174.9,3431.14,3.25692,16459,8322.76,1.97759,2.43098,4.80614,0.505808
rtx4090,RTX 4090,mid_l50,mid,50,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,759.108,461.675,1.64425,538.296,123.988,4.34151,11056.9,3787.77,2.91912,16406.9,8529.08,1.92365,2.438,4.68991,0.519841
rtx4090,RTX 4090,mid_l70,mid,70,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2213.41,658.681,3.36036,594.389,125.78,4.72561,11212.2,4560.5,2.45853,16616.8,8999.97,1.84632,2.40721,4.4478,0.541214
rtx4090,RTX 4090,mid_l90,mid,90,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,3643.14,1135.65,3.20797,314.207,85.4989,3.67499,11523.6,4868.42,2.367,16926.4,9270.78,1.82578,2.36483,4.3148,0.548073
rtx4090,RTX 4090,high_l10,high,10,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,466.341,386.155,1.20765,452.289,124.136,3.6435,12604.9,3272.18,3.85215,16652.3,6902.93,2.41236,2.40563,5.79465,0.415147
rtx4090,RTX 4090,high_l30,high,30,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1181.52,445.195,2.65393,1132.16,128.205,8.83084,12133.2,3542.67,3.42489,16164,7085.26,2.28135,2.4748,5.64554,0.438365
rtx4090,RTX 4090,high_l50,high,50,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1812.79,515.048,3.51966,1116.06,139.74,7.98671,12741.6,4053,3.14375,16833.4,7251.21,2.32146,2.37837,5.51634,0.431151
rtx4090,RTX 4090,high_l70,high,70,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,3390.52,950.117,3.56852,891.8,120.563,7.39697,12678.3,4928.57,2.57241,16849.6,8055.55,2.09167,2.3753,4.96581,0.478331
rtx4090,RTX 4090,high_l90,high,90,mistral-7b-instruct-v0.2,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,5033.97,2057.83,2.44625,449.199,86.6432,5.18448,12768.3,5163.88,2.47262,16965.1,8880.23,1.91044,2.35785,4.50703,0.523149
rtx4090,RTX 4090,mid_l10,mid,10,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,560.394,342.92,1.63418,505.913,100.73,5.02246,10736.2,2816.09,3.81246,16248.2,8145.85,1.99466,2.46682,4.91051,0.502355
rtx4090,RTX 4090,mid_l30,mid,30,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,403.587,376.15,1.07294,343.701,94.459,3.63863,9787.99,3059.41,3.19931,15080.4,8192.82,1.84069,2.65261,4.88238,0.543302
rtx4090,RTX 4090,mid_l50,mid,50,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,525.291,382.048,1.37494,452.292,109.659,4.12455,9828.99,3143.07,3.12719,15147.8,8208.66,1.84534,2.64085,4.87291,0.541946
rtx4090,RTX 4090,mid_l70,mid,70,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1603.05,473.072,3.3886,506.928,98.8934,5.126,9464.28,3357.45,2.81889,14800,8220.58,1.80036,2.70271,4.86588,0.555441
rtx4090,RTX 4090,mid_l90,mid,90,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2624.75,437.362,6.00132,261.332,74.001,3.53147,9665.51,3562.62,2.71303,14967.9,8265.2,1.81095,2.6724,4.8396,0.552195
rtx4090,RTX 4090,high_l10,high,10,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,316.619,341.225,0.927888,278.485,92.8409,2.9996,10638.9,2798.69,3.80138,14675.6,6668.22,2.20083,2.72562,5.99861,0.454374
rtx4090,RTX 4090,high_l30,high,30,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,775.674,388.039,1.99896,724.878,109.162,6.64036,10893.1,3148.49,3.45979,14946.2,6688.26,2.23468,2.67632,5.98064,0.447497
rtx4090,RTX 4090,high_l50,high,50,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1984.44,380.629,5.21358,1495.28,107.754,13.8768,12561.9,3221.72,3.89912,16611.4,6765.39,2.45535,2.40963,5.91246,0.407551
rtx4090,RTX 4090,high_l70,high,70,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2555.99,509.249,5.01914,618.367,103.535,5.97256,10966.4,3534.39,3.10278,15072.9,6869.05,2.19432,2.65378,5.82325,0.455722
rtx4090,RTX 4090,high_l90,high,90,qwen2.5-7b-instruct,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,4016.8,503.001,7.98567,370.389,95.8664,3.8636,10994.8,4067.84,2.70286,15068.5,7032.84,2.14259,2.65459,5.69038,0.466504
