density,density_level,target_long_fraction_pct,model_key,model_label,method,repeat_count,measured_long_fraction,request_count,short_request_count,long_request_count,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms,round_wall_ms,throughput_rps
high_l50,high,50,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Chunked prefill,2,0.5,40.0,20.0,20.0,404.6597987471614,1164.0567929454846,1327.3298854808672,200.3619284805609,272.2934525227174,276.1976034901454,922.6376647566212,1240.4258633352583,1348.3562272784184,6465.0668510148535,6885.645960847614,7007.864101110608,6431.780422994052,6544.969203672372,6555.381703961175,6564.96084399987,6950.48381013039,7011.411217211862,10325.733995472547,3.876707371503149
high_l50,high,50,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Sarathi,2,0.5,40.0,20.0,20.0,401.992776998668,1085.173704981571,1266.9707313462277,193.68505223246757,270.6522769876756,275.0957547436701,880.4639064910589,1156.6694159584586,1287.70595603768,6253.475822493783,6667.000122027821,6772.991255887318,6247.445287503069,6388.1408370885765,6391.873182112176,6275.413475246751,6745.839784582495,6780.397525692824,10035.962146503152,3.9856700988679967
high_l50,high,50,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,vLLM,2,0.5,40.0,20.0,20.0,403.6481912480667,1130.4528431937797,1331.9214739787276,194.64896524732467,271.9030557287624,274.28900871775113,889.6767197438749,1221.8645964487223,1345.3724534841604,6339.437945760437,6755.28995024506,6862.437860888895,6328.527083751396,6462.34366846038,6465.758308139048,6372.926023250329,6824.241854355205,6871.653010684531,10087.87485648645,3.9651612570825847
high_l50,high,50,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,CUCUMIS,2,0.5,40.0,20.0,20.0,152.93651801766828,526.4274923043558,678.8905850157607,132.9956872650655,165.7599219674012,270.80654409219267,376.06676197901834,593.6916598206154,692.8754914097952,4993.16678501782,5129.009233356919,5275.4633370394,4993.16678501782,5079.245665360941,5081.3001810980495,4975.426911245449,5270.396819978487,5276.373487537785,8927.543356461683,4.480523980674557
high_l50,high,50,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,CUCUMIS-II,2,0.5,40.0,20.0,20.0,327.65623423620127,846.6639058984583,978.2211009637103,155.46194674971048,224.92064675316217,244.302819512086,683.9780295122182,901.9959875120549,995.5821999631006,5392.277482533245,5728.534820623463,5795.592289555061,5364.271178012132,5460.007928914274,5462.818541773304,5416.1349545029225,5781.950824597152,5797.757778750674,9225.638681993587,4.335747938322541
high_l50,high,50,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,CUCUMIS-Strict,2,0.5,40.0,20.0,20.0,339.2885584908072,847.0660457358463,979.3998308657319,153.615377494134,224.9979729880579,253.1018565222621,676.7089122731704,899.3208928062813,996.4988496623117,5391.400924985646,5725.264549622079,5798.085968378873,5364.561677983147,5461.34634729533,5463.5495129734045,5443.109287763946,5785.794326983159,5801.904557682283,9284.879206476035,4.30808073400328
high_l50,high,50,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,Chunked prefill,2,0.5,40.0,20.0,20.0,321.66641374351457,843.9476028608624,961.777876035776,155.01024575496558,225.77029798412696,225.77029798412696,665.7256465259707,869.1057653573808,978.913366536144,5380.560417484958,5716.198434360558,5782.661422179372,5348.137296256027,5443.772145855473,5446.958671544271,5434.750688757049,5770.776648557512,5785.377637978236,9286.048638023203,4.307538557586399
high_l50,high,50,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,Sarathi,2,0.5,40.0,20.0,20.0,326.9501315080561,844.160657050088,962.665530386148,152.8390820021741,227.46197402011603,238.3803649575566,668.2755707442993,868.2305028487464,979.7924019850324,5386.376342765288,5728.896476695081,5807.017277844716,5365.007632251945,5457.8997119446285,5460.922772222839,5408.056656262488,5780.925880422001,5814.158760744613,9246.60409349599,4.325912775777047
high_l50,high,50,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,vLLM,2,0.5,40.0,20.0,20.0,361.4517607638845,842.2346969484353,1020.328652166063,161.7251444986323,247.69645096966997,254.8850183407194,712.4445060035214,957.7434749167878,1032.2048210597131,5773.030136755551,6171.735956409248,6243.526071894448,5739.230321007199,5807.758179082884,5813.427494872885,5891.239963253611,6185.531243539299,6254.702061696444,9749.274386529578,4.102877246940771
high_l70,high,70,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,2,0.7,40.0,12.0,28.0,267.66643025621306,587.1103415964171,744.0335948558641,146.44200602197088,181.61970547225792,202.70638186455471,385.0889362511225,597.6740584417712,750.3953592167818,5175.387790237437,5485.53853497142,5615.074499346665,5359.068932739319,5416.750632505864,5419.997831215442,4734.823872233392,5556.898070953321,5615.542826165329,8972.243926487863,4.458239017918123
high_l70,high,70,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS-II,2,0.7,40.0,12.0,28.0,815.8635137660895,1881.0247825604165,1964.0424698169227,155.25926476402674,206.34779260726646,212.34613479522523,1224.2488237534417,1939.5769865921466,1965.825446798408,6609.568794257939,6879.337874494377,7103.500305554189,6687.3029017297085,6807.533708948176,6815.157828575466,5410.095372775686,6927.435394743225,7111.265392451605,10684.163180994801,3.7438624918330605
high_l70,high,70,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS-Strict,2,0.7,40.0,12.0,28.0,873.5821192385629,1950.3614487330196,2071.4332040707814,172.82157676527277,211.72424222750124,213.70110611547716,1260.9264957427513,1978.6442521872232,2078.561369428062,6825.720793000073,7159.431111853337,7364.733880255953,6894.053661759244,7076.534019771498,7093.593561057351,5701.417828749982,7135.7352294406155,7370.496258175117,10930.976956995437,3.661085560000607
high_l70,high,70,baichuan2-7b-chat,Baichuan2-7B-Chat,Chunked prefill,2,0.7,40.0,12.0,28.0,830.1707275095396,1826.8470806826372,2043.1191423087148,152.94312326295767,201.66310493659694,208.787132447178,1223.3606602239888,1882.4569237593096,2050.948074068292,6518.114129532478,6827.767638929072,7040.633657082508,6625.503150004079,6755.720712573384,6762.761234052305,4922.498686239123,6858.102686450002,7048.152231523127,10511.705576995155,3.8052823938022025
high_l70,high,70,baichuan2-7b-chat,Baichuan2-7B-Chat,Sarathi,2,0.7,40.0,12.0,28.0,827.0041655050591,1863.7538081238745,2010.515595584293,154.50487748603337,191.90904921561014,206.63515241554705,1231.4870459813392,1902.8934935107827,2018.217690946185,6631.716107513057,6873.25266514963,7103.312484717171,6687.701645991183,6814.854622373241,6822.129452011432,6321.086454510805,6922.607279443764,7111.073708039185,10644.201613002224,3.7579156171654047
high_l70,high,70,baichuan2-7b-chat,Baichuan2-7B-Chat,vLLM,2,0.7,40.0,12.0,28.0,848.5008910065517,1907.0712798886234,2113.2073634365224,152.4958847439848,212.29560239880811,213.15137299825437,1660.0004727224587,1985.237546780263,2123.4705545337056,6800.484449748183,7213.307055982295,7484.872250862536,7043.760975255282,7184.512265399098,7191.853713338787,6168.803481283248,7329.071688768454,7490.999782900908,10372.055121493759,3.8565825230873862
high_l70,high,70,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS,2,0.7,40.0,12.0,28.0,304.9423687480157,836.1467097303831,943.8700751319993,245.90389525110368,277.4500047293259,324.7713212875533,461.42483250878286,910.6737006775802,946.9752146268729,8483.787244011182,8817.478002011194,9035.959574995504,8486.44611898635,8561.306938706548,8564.727082617756,8402.140289996169,8877.584561149706,9056.318383614707,12292.39080901607,3.2540499975528903
high_l70,high,70,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS-II,2,0.7,40.0,12.0,28.0,1514.393163495697,3306.6008482914185,3548.51403949433,295.652528264327,318.06191900977865,322.74672989558894,1999.1946157388156,3344.110785474186,3574.5166813314427,11383.721569000045,12041.197713534348,12201.863871922542,10874.071131504024,10928.831703757169,10929.423689503747,11672.046490260982,12109.288744273363,12205.944946400414,16434.226409503026,2.4339449646415674
high_l70,high,70,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS-Strict,2,0.7,40.0,12.0,28.0,1503.4135845053243,3314.7941320436075,3636.9305427817744,269.7500102513004,339.46576467133127,345.7991303349263,2092.7400292566745,3414.996817964129,3663.3899711599224,10861.799452264677,11302.147010911722,11441.874969755881,10443.84351525514,10537.832583696581,10539.220950527815,11042.026531984448,11309.677305666264,11449.01132259809,15584.788596985163,2.5666462432163826
high_l70,high,70,gemma-2-9b-it,Gemma-2-9B-IT,Chunked prefill,2,0.7,40.0,12.0,28.0,1458.965877740411,3268.8954652519897,3515.148295451654,255.20360976224765,327.25434980529826,357.20462820114335,2024.2937882430851,3335.194118844811,3518.5127337730955,10838.602651740075,11291.369597316952,11486.694242023514,10401.917626004433,10487.61747184908,10490.28306313412,11003.161547225318,11302.780618105317,11516.642001399887,15621.25279349857,2.560614234441166
