density,density_level,target_long_fraction_pct,measured_long_fraction,model_key,model_label,cucumis_all_ttft_p99_ms,vllm_all_ttft_p99_ms,best_chunk_all_ttft_p99_ms,cucumis_vs_vllm_all_ttft_p99_ms_improvement,cucumis_vs_best_chunk_all_ttft_p99_ms_improvement,cucumis_short_ttft_p99_ms,vllm_short_ttft_p99_ms,best_chunk_short_ttft_p99_ms,cucumis_vs_vllm_short_ttft_p99_ms_improvement,cucumis_vs_best_chunk_short_ttft_p99_ms_improvement,cucumis_all_completion_p99_ms,vllm_all_completion_p99_ms,best_chunk_all_completion_p99_ms,cucumis_vs_vllm_all_completion_p99_ms_improvement,cucumis_vs_best_chunk_all_completion_p99_ms_improvement,cucumis_short_completion_p99_ms,vllm_short_completion_p99_ms,best_chunk_short_completion_p99_ms,cucumis_vs_vllm_short_completion_p99_ms_improvement,cucumis_vs_best_chunk_short_completion_p99_ms_improvement,cucumis_round_wall_ms,vllm_round_wall_ms,cucumis_vs_vllm_round_wall_ratio,cucumis_throughput_rps,vllm_throughput_rps,cucumis_vs_vllm_throughput_ratio
high_l70,high,70,0.7,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,709.2097515281057,2057.308903487865,1912.9261647822568,2.9008468919879684,2.6972643292912313,208.74954161874484,211.12345270521473,198.66992687719176,1.0113720541279345,0.9517143143721856,5496.046088203439,7288.288001200999,6919.626997731684,1.3260965945763044,1.2590190996730868,5286.778340486344,6907.309376273188,6544.810613631853,1.3065252468363875,1.2379582029213239,8899.159606022295,10063.322945992695,0.8843162098425967,4.496002864266753,3.9748313260561305,1.1311179004739642
high_l90,high,90,0.9,baichuan2-7b-chat,Baichuan2-7B-Chat,833.5317363505601,2962.5391588028288,3033.5077835412812,3.5542007935698656,3.639342872321628,197.33052244933788,171.8215760833118,171.5320313538541,0.870729849344137,0.8692625409629309,6083.170733419538,9345.76762558514,8170.8836057569715,1.536331632818005,1.3431948508148916,5868.83048230462,8949.13317582017,7826.784570496238,1.5248580109449594,1.333619124644192,8997.16231651837,11835.950954991858,0.7601554239901427,4.4458478384031315,3.379535254555603,1.315520479453541
high_l90,high,90,0.9,gemma-2-9b-it,Gemma-2-9B-IT,1194.0032907837303,4725.043594383751,5275.628607904364,3.9573120366211767,4.418437242699307,313.0351650342345,299.05269367736764,304.8497399833286,0.9553325858603211,0.9738514200153496,9431.604907342698,13515.121779220062,12924.462767503574,1.4329609766306328,1.3703354725388903,9098.915182362252,12794.353609741374,11478.78801681567,1.406140551188182,1.261555667544486,12754.785589990206,16741.463298996678,0.7618680256435293,3.1365503611364733,2.389279722294498,1.3127597961298347
high_l90,high,90,0.9,gemma-7b-it,Gemma-7B-IT,1391.3968417569413,8933.35437634436,7857.682835389569,6.420421628285468,5.647334103092785,250.6722004909534,291.17565245804144,289.74067535309587,1.1615793529867298,1.1558548366576948,7754.8214160927455,14069.830713493284,12567.976843255456,1.8143332977721034,1.6206661854487696,7511.964005667542,13622.224602388742,11941.593865176837,1.8134038704273876,1.5896766619445033,9999.73253099597,17937.64673100668,0.5574718178450142,4.006516853878061,2.2302756163463373,1.7964223006847837
high_l90,high,90,0.9,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,1031.8440443373402,3509.479010545183,3976.5848325155093,3.4011719404738177,3.853862271472729,189.56685009994544,187.32360638241516,186.92921813722933,0.9881664768056885,0.9860860062752245,6734.620223088714,10145.154228453757,9156.617599633755,1.506418163517595,1.359633846648332,6505.152823453536,9665.330688764807,8726.664962262439,1.485796099042844,1.3415003765629474,9651.501707994612,12628.550224500941,0.7642604682578299,4.151240074351328,3.1692304760104033,1.3098574262030735
high_l90,high,90,0.9,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,763.5266904026503,2746.8860238490743,2943.712501930422,3.5976293407640902,3.8554153233045962,186.73005167773226,171.14107606117614,167.9970198139199,0.9165159786735327,0.8996785375706813,5661.945686545223,8667.784602144093,8063.879360544088,1.5308844489168807,1.4242240754281175,5465.948311021202,8331.277648827818,7728.134827291069,1.5242144957772727,1.4138689917188811,8952.822531980928,10890.825963491807,0.8220517490585703,4.467876084700432,3.6728198920239086,1.2164702370522196
mid_l10,mid,10,0.1,baichuan2-7b-chat,Baichuan2-7B-Chat,429.37139606743585,597.705028078053,577.3353786653023,1.3920466839485954,1.3446060542296294,153.3203076091013,155.52189500886016,145.23435322771547,1.0143593985303756,0.9472610347091045,4918.402709488291,4995.787643719814,4873.343844589253,1.0157337531719874,0.9908387198933277,4753.516366038821,4582.261934007693,4463.973111387168,0.9639731056245764,0.9390886172770382,10323.877402028302,10220.45004949905,1.0101196475721068,3.874513526065266,3.9137250723307444,0.9899810166680597
mid_l10,mid,10,0.1,gemma-2-9b-it,Gemma-2-9B-IT,659.4413981289835,1000.9675519005394,1013.4171729747321,1.5179022044120365,1.5367812452328218,251.4261083357269,247.02755032194545,248.65495100384578,0.9825055637901053,0.9889782435474807,8181.432011258439,8639.522286036226,8755.896302124893,1.0559914540813162,1.0702156162974814,8031.771612528246,7900.6219269300345,8018.275463693135,0.9836711385824717,0.9983196548051666,13808.661964983912,13647.714396531228,1.0117930053176956,2.8967525395442846,2.9308967130464563,0.9883502638116916
mid_l10,mid,10,0.1,gemma-7b-it,Gemma-7B-IT,480.9123813491897,717.0237844667281,736.9158826270723,1.4909655319231598,1.5323287800569203,227.9925359776825,187.22995860589432,187.8039711315068,0.8212109129055948,0.8237285941233198,5157.555725712446,5291.912716635852,5319.89395077253,1.0260505165758238,1.031475806310878,5024.907091958448,4790.270095471351,4823.719869989145,0.9533052070032109,0.959962001627598,10418.236928002443,10420.719029993052,0.9997618108708752,3.8394328134366917,3.8385083090891383,1.0002408499013442
mid_l10,mid,10,0.1,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,432.63686210877495,674.0862322036991,586.2758241494884,1.5580878358770505,1.3551222179539686,171.81713234604103,180.9792578816996,148.56738663947908,1.0533248658649823,0.8646831931769366,5634.987578759756,5706.474049515091,5040.840691481426,1.0126861807157823,0.8945611008056383,5446.682387701003,5216.465078634792,4613.543078156363,0.9577325621949138,0.8470372879781042,11104.688619510853,10932.621496496722,1.0157388713282782,3.602100075340523,3.65877573311887,0.9845096660980543
