density,density_level,target_long_fraction_pct,model_key,model_label,method,repeat_index,round_wall_ms,throughput_rps,source_json,request_count,short_request_count,long_request_count,measured_long_fraction,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms
high_l10,high,10,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,8851.35953000281,4.519079793834485,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l10/baichuan2-7b-chat_dataset_eval.json,40.0,36.0,4.0,0.1,143.4435989940539,153.31259227241392,406.2748171988641,4563.116531498963,4714.973680494586,4802.5714825844625,143.37777200853452,149.80804899823852,160.84146146022246,4563.116531498963,4714.928303990746,4717.195331436233,328.03730200976133,415.69991969154216,443.9752271695761,3185.024911974324,4786.384612385882,4849.850794039085
high_l10,high,10,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,8863.998393004294,4.512636197178135,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l10/baichuan2-7b-chat_dataset_eval.json,40.0,36.0,4.0,0.1,142.30100600980222,148.6650777515024,437.7640969521599,4552.53794498276,4671.640910184942,4756.621479982277,142.24186399951577,146.8522280047182,148.52609474619385,4552.53794498276,4670.162187481765,4672.677074576495,388.3917964703869,438.20704212994315,439.5358776632929,3157.204257498961,4743.971422378672,4803.596103418968
high_l30,high,30,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,8890.730334969703,4.499067961005288,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l30/baichuan2-7b-chat_dataset_eval.json,40.0,28.0,12.0,0.3,150.44807799858972,447.9699373943732,554.3615729978774,4892.201310023665,5151.5900548081845,5250.302840753575,146.90253202570602,175.79232901334763,229.40498347801622,4817.574071028503,5130.445444415091,5153.413361739367,370.3129795030691,522.2111047711223,567.689987962367,4991.948134993436,5178.967772983015,5283.0468062876025
high_l30,high,30,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,8865.7531630015,4.511743025615435,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l30/baichuan2-7b-chat_dataset_eval.json,40.0,28.0,12.0,0.3,148.8403425028082,448.75608119182294,549.4330283242743,4788.558712491067,5118.110497883754,5216.230914820335,145.28487995266914,175.332365965005,232.7332134207245,4788.558712491067,5117.531707789749,5118.940654581529,369.4085050083231,521.3093220198061,561.0888996755239,4233.249110489851,5148.097429017071,5247.505301746423
high_l50,high,50,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,8847.60840999661,4.520995747823261,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l50/baichuan2-7b-chat_dataset_eval.json,40.0,20.0,20.0,0.5,154.97718896949664,452.4007079075092,579.5510830462445,4909.790852980223,5051.874783710809,5215.024934713729,148.03562848828733,157.2731271677185,273.45029680756835,4947.355978976702,5048.273682477884,5052.992513275822,361.6724480234552,559.465481719235,584.5915840344969,3181.4563244988676,5116.623106400948,5231.496796901338
high_l50,high,50,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,9117.975572007708,4.386938710693684,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l50/baichuan2-7b-chat_dataset_eval.json,40.0,20.0,20.0,0.5,154.59942299639806,520.0507450848818,618.4412153554149,4944.818029500311,5187.192959606182,5407.657756910776,148.02747350768186,157.17511349939744,273.6965273210079,5077.234542521182,5187.192959606182,5189.1224105638685,367.3863074800465,588.5697520105168,623.5612459597178,3315.02112900489,5204.711287032114,5413.9174185093725
high_l70,high,70,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,9000.897120975424,4.444001465896681,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l70/baichuan2-7b-chat_dataset_eval.json,40.0,12.0,28.0,0.7,254.43742299103178,583.1015189702157,778.9560192084173,5136.872485483764,5489.584921015194,5579.563963350956,145.28166851960123,181.99582303059287,201.56675639329478,5319.764436513651,5372.612219292205,5374.11122881691,361.03282499243505,596.7287102772389,788.7975886912318,4754.36662096763,5520.032030792208,5580.084498627693
high_l70,high,70,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,8943.590732000303,4.472476569939565,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l70/baichuan2-7b-chat_dataset_eval.json,40.0,12.0,28.0,0.7,280.89543752139434,591.1191642226186,709.1111705033109,5213.90309499111,5481.492148927646,5650.585035342374,147.60234352434054,181.24358791392297,203.84600733581465,5398.373428964987,5460.889045719523,5465.884433613974,409.14504750980996,598.6194066063035,711.9931297423318,4715.281123499153,5593.764111114433,5651.001153702964
high_l90,high,90,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,8991.7198420153,4.4485371767360204,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l90/baichuan2-7b-chat_dataset_eval.json,40.0,4.0,36.0,0.9,380.4231645190157,637.8506682929584,803.8612385105807,5009.361649979837,5833.810470812023,6041.162784356275,148.82328500971198,184.27377499174327,197.46222739573568,5772.632254986092,5812.998859968502,5827.390300057596,383.13365302747115,677.0827375003137,807.9459005093667,4732.654720486607,5840.097066015005,6041.654992316035
high_l90,high,90,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,9002.60479102144,4.4431585000702425,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/high_l90/baichuan2-7b-chat_dataset_eval.json,40.0,4.0,36.0,0.9,391.3853094854858,770.7556909881532,863.2022341905395,4887.815093476092,5914.542783680372,6125.178682482801,144.91171448025852,183.54370709275827,197.19881750294007,5854.2035085265525,5895.278784696711,5910.270664551645,419.00329251075163,770.7556909881532,864.3053797102766,4293.140601483174,5908.703558990965,6125.48538048286
