density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,prefill_service_ms,decode_service_ms,decode_first_token_ms,source_first_latency_ms,source_finish_latency_ms
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_26,76.70445699477568,4620.508852996863,2.345462969969958,79.04991996474564,4697.213309991639
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_27,77.5243720272556,4600.617332966067,0.9529839735478163,78.47735600080341,4678.1417049933225
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_28,76.49684202624485,4630.81246096408,2.40457896143198,78.90142098767683,4707.309302990325
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_29,76.99886005138978,4637.433491938282,1.8593539134599268,78.85821396484971,4714.432351989672
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_30,77.4933029897511,4607.331811974291,1.2081479653716087,78.70145095512271,4684.825114964042
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_31,76.05315296677873,4610.877914004959,1.5585790388286114,77.61173200560734,4686.931066971738
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_32,77.19968596938998,4628.447621013038,72.31949407832872,77.15622498653829,4705.647306982428
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_33,76.98933099163696,4630.24172198493,2.292096964083612,79.28142795572057,4707.231052976567
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,long_a,217.05888700671494,1024.0145919960923,4.38008300261572,221.43897000933066,1241.0734790028073
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,long_b,267.88920594844967,4656.572787032928,6.095970049500465,273.98517599795014,4924.461992981378
