density,density_level,target_long_fraction_pct,model_key,method,method_variant,dispatcher,gpu_count,replica_count,replica_execution,repeat_count,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms,long_request_count,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,measured_long_fraction,request_count,round_wall_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,short_request_count,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,throughput_rps
mid_l30,mid,30,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4901.310092260246,5529.608273154008,5822.579867161985,151.52185873012058,630.8102784794755,695.859784730128,5287.089678022312,5720.701520022703,5865.472522856144,12.0,587.0490772649646,685.6948438391555,699.4989459885983,0.3,40.0,10502.001575498485,4877.012757759076,5223.207633389393,5530.892762429139,28.0,150.25210000749212,156.10066697990987,174.0103348271805,3.811031856008929
mid_l30,mid,30,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4864.918491497519,5238.774714659667,5591.300195523072,158.311462495476,556.2623972189613,582.6765754222288,5127.755803754553,5580.141395019018,5595.328824736644,12.0,546.2855497607961,579.7151538485195,583.5490195846069,0.3,40.0,10706.34957197621,4831.32030449633,5183.679517460405,5205.902639111446,28.0,149.669714999618,160.57684778934345,169.04207028419478,3.7361014199465545
mid_l50,mid,50,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4926.656528245076,5414.105530231609,5742.871796337422,162.3342889797641,569.2478756682249,618.2523341706838,5123.176768494886,5624.950015803915,5773.683241030667,20.0,553.1136825011345,579.5184151967987,628.5556494756019,0.5,40.0,10469.101126519257,4871.680911761359,5190.794579940848,5375.372612260107,20.0,141.92018474568613,157.60847506171558,165.30060706660151,3.821591986513263
mid_l50,mid,50,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5101.771058762097,5490.21007338888,5755.316295537923,162.6543767633848,572.6143940817565,667.4342938646441,5106.6281990206335,5586.010101059219,5761.484206047899,20.0,545.2635167603148,655.0707493006485,670.5463267693995,0.5,40.0,10766.103643034927,5105.630383492098,5342.064660022152,5364.575426223164,20.0,145.66018573532347,161.1361476680031,192.30008171231015,3.7153650258460984
mid_l70,mid,70,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5541.723856236786,6304.516283850535,6478.288991172158,523.2759407663252,715.0515234767227,827.5889767799526,5674.634105496807,6322.155763063347,6489.6301545147435,28.0,584.0243307466153,737.7272032113979,833.3491674624383,0.7,40.0,11212.212900527851,5516.736457750085,5907.442056131549,6001.97074400814,12.0,141.60041851573624,166.7981294391211,229.27496441174304,3.567541685865379
mid_l70,mid,70,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5387.363324232865,5894.695783572388,6209.010482115555,528.9116609928897,699.9788258050103,837.3815741727594,5434.814438252943,6026.452009539935,6221.481536235078,28.0,571.6808464931091,726.3601043057861,843.5773191938642,0.7,40.0,10723.386246491333,5377.982796257129,5801.144171884516,5859.308371025254,12.0,143.14848225330934,163.1369137467118,176.261312229326,3.730165929031944
mid_l90,mid,90,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5646.614396755467,6246.941895445343,6360.526764079696,549.1335542465094,792.6498145534425,915.8971994373132,5564.103967757546,6252.251567260828,6361.925420019543,36.0,571.5883990051225,821.144488741993,917.9408552372478,0.9,40.0,10572.756527499632,5953.939237995655,6012.449001244386,6015.296312569117,4.0,142.78932349407114,146.24096433981322,147.1054086269578,3.784191318822554
mid_l90,mid,90,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,6108.763652518974,6622.5639449985465,6779.905136217421,579.202852997696,860.2214654820273,1025.616791267821,6027.3451050015865,6637.146959008533,6782.040423476428,36.0,619.5891639799811,870.2032914879965,1025.9574835465173,0.9,40.0,11241.692675494465,6372.274337991257,6406.002438568976,6406.674054538598,4.0,161.41639498528093,163.4106968616834,163.83745224942686,3.558185013137464
high_l10,high,10,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4661.901582003338,4905.329745661584,5119.9023343552835,144.38677424914204,199.90048671024877,584.7965387476142,4993.211101755151,5131.454746506643,5166.11198296072,4.0,499.8684430029243,595.3005344665144,626.8125216232147,0.1,40.0,8870.836181510496,4656.287250239984,4898.627408998436,4901.572102899081,36.0,144.18394574022386,148.69185049610678,181.25332434865413,4.509158105498468
high_l10,high,10,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4648.651803014218,4774.39264220593,5079.046028537268,143.49247273639776,153.72415707679468,537.5376190035604,4891.553696972551,5093.61275480187,5137.312933595676,4.0,493.79760249576066,537.7034575038124,538.2009730045684,0.1,40.0,8876.845095978608,4646.300437263562,4757.86204423639,4788.707675795013,36.0,143.22667398664635,145.70161623123568,150.5987244701828,4.506130713402403
high_l30,high,30,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4707.050832017558,5581.373337059631,5853.981966811989,143.83825298864394,678.3096204599133,870.0325537010212,5253.563867998309,5747.096494075959,5897.520752182754,12.0,637.2728607384488,851.2378107494442,878.4341050396324,0.3,40.0,8850.126073494577,4694.310081249569,5201.302026351914,5560.755599609693,28.0,142.82469025056344,168.96704989485443,260.30643199395854,4.519709637441314
high_l30,high,30,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4710.283522261307,5091.645841603167,5209.379645308072,147.11023900599685,539.8938058875501,562.3205035252613,4899.276327487314,5179.7127473168075,5221.036130129651,12.0,485.580317734275,557.5019359996077,563.9546204885119,0.3,40.0,8893.683044475294,4678.002664266387,4812.992283297353,4870.490846595785,28.0,142.775689237169,155.99639924475923,173.18892301729647,4.497585102738736
high_l50,high,50,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5110.797917746822,5810.411363863386,6083.526852341602,173.01496399159078,664.0241834975313,747.6896176708397,5238.209270260995,5955.015577340964,6113.358511134284,20.0,560.7434957491932,699.0772287448635,756.6519188822713,0.5,40.0,9310.70981900569,5038.5162939928705,5543.823383914423,5778.079146220116,20.0,142.68882150645368,157.8590676188469,216.68775420985176,4.296269932543375
high_l50,high,50,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5507.045841004583,5829.667507647537,6033.4132414421765,170.0677404878661,637.8592236782424,770.4719778851722,5519.618531732704,5906.428739288822,6048.865124047152,20.0,565.5815059726592,671.0783931717743,790.6922717872657,0.5,40.0,9768.059690985958,5516.180934748263,5664.838052337291,5674.676838170853,20.0,161.50049926363863,178.89396405080345,260.5540785007179,4.095088287995974
high_l70,high,70,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5530.297035249532,5842.083651895518,6115.23394574062,317.20770048559643,733.446063825977,819.2137398672639,5373.424712510314,6004.026253524353,6124.178630901733,28.0,597.6908257434843,744.5450669503771,826.2831797424587,0.7,40.0,9658.940212512645,5665.118262244505,5676.701799820876,5767.0357823887025,12.0,150.3071027691476,193.20760393165983,222.07552112580743,4.143444547904597
high_l70,high,70,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5765.611374255968,6149.707698755083,6337.366915198218,341.19576402008533,736.2109716283159,913.7717688910197,5612.931581767043,6245.15855491336,6343.60326330032,28.0,553.8407704880228,809.5780747535173,916.7259404750075,0.7,40.0,9872.547964499081,5959.275860761409,6022.840761911357,6032.6200606892235,12.0,163.01687450322788,169.3798110296484,171.45841479097726,4.051638974685541
high_l90,high,90,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5928.604427259415,6370.154982604436,6533.094291637535,578.4393172652926,837.4756868433906,960.622539051983,5786.408023006516,6389.280375020462,6535.2574249583995,36.0,632.218660772196,850.9288702480262,961.7477768901153,0.9,40.0,9535.548547971086,6144.717042261618,6199.456975443172,6206.283613183477,4.0,145.61005498399027,200.4076583252754,221.54387675691396,4.194864908695715
high_l90,high,90,gemma-7b-it,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5850.216880993685,6293.629524920834,6419.558717256878,544.8763905005762,902.5948977505323,977.2346634409041,5765.075154500664,6307.2727627295535,6421.064799895976,36.0,569.4093864876777,916.3538807479199,978.0642376004835,0.9,40.0,9465.381209999443,5955.828153761104,6038.625604409026,6066.9707165966975,4.0,147.74986052361783,152.76778476545587,154.44167608977295,4.226001128294594
